s n m tiempo
1 3 66 132.50000000
1 3 67 137.50000000
1 3 68 116.60000000
1 3 69 149.30000000
1 3 70 128.00000000
1 3 71 176.30000000
1 3 72 145.80000000
1 3 73 163.50000000
1 3 74 156.70000000
1 3 75 140.60000000
1 3 76 133.50000000
1 3 77 128.40000000
1 3 78 135.70000000
1 3 79 124.60000000
1 3 80 136.60000000
1 3 81 143.20000000
1 3 82 130.50000000
1 3 83 130.50000000
1 3 84 134.00000000
1 3 85 123.20000000
1 3 86 146.20000000
1 3 87 142.00000000
1 3 88 138.10000000
1 3 89 134.40000000
1 3 90 178.60000000
1 3 91 128.60000000
1 3 92 186.10000000
1 3 93 176.10000000
1 3 94 157.20000000
1 3 95 155.20000000
1 3 96 132.90000000
1 3 97 289.90000000
1 3 98 156.20000000
1 3 99 159.30000000
1 3 100 138.60000000
1 4 1 131.50000000
1 4 2 168.60000000
1 4 3 134.40000000
1 4 4 137.20000000
1 4 5 134.00000000
1 4 6 133.10000000
1 4 7 138.90000000
1 4 8 120.90000000
1 4 9 124.60000000
1 4 10 127.90000000
1 4 11 4251.40000000
1 4 12 133.10000000
1 4 13 127.00000000
1 4 14 149.90000000
1 4 15 209.50000000
1 4 16 126.10000000
1 4 17 148.80000000
1 4 18 117.20000000
1 4 19 121.20000000
1 4 20 130.00000000
1 4 21 131.80000000
1 4 22 137.20000000
1 4 23 167.20000000
1 4 24 130.70000000
1 4 25 158.80000000
1 4 26 116.60000000
1 4 27 3031.00000000
1 4 28 158.40000000
1 4 29 121.20000000
1 4 30 121.80000000
1 4 31 122.80000000
1 4 32 125.10000000
1 4 33 172.80000000
1 4 34 124.40000000
1 4 35 131.80000000
1 4 36 131.20000000
1 4 37 121.50000000
1 4 38 127.10000000
1 4 39 122.50000000
1 4 40 126.40000000
1 4 41 128.50000000
1 4 42 151.10000000
1 4 43 167.50000000
1 4 44 151.90000000
1 4 45 143.20000000
1 4 46 186.20000000
1 4 47 121.90000000
1 4 48 148.40000000
1 4 49 124.80000000
1 4 50 140.70000000
1 4 51 121.70000000
1 4 52 130.10000000
1 4 53 129.20000000
1 4 54 128.40000000
1 4 55 125.80000000
1 4 56 130.00000000
1 4 57 161.40000000
1 4 58 129.10000000
1 4 59 120.30000000
1 4 60 116.20000000
1 4 61 160.50000000
1 4 62 123.00000000
1 4 63 159.60000000
1 4 64 127.60000000
1 4 65 138.20000000
1 4 66 123.20000000
1 4 67 124.00000000
1 4 68 163.30000000
1 4 69 121.60000000
1 4 70 119.00000000
1 4 71 120.70000000
1 4 72 126.00000000
1 4 73 127.00000000
1 4 74 118.60000000
1 4 75 135.30000000
1 4 76 199.70000000
1 4 77 114.10000000
1 4 78 128.00000000
1 4 79 118.20000000
1 4 80 157.80000000
1 4 81 125.60000000
1 4 82 118.60000000
1 4 83 120.60000000
1 4 84 124.20000000
1 4 85 120.00000000
1 4 86 139.30000000
1 4 87 115.80000000
1 4 88 114.90000000
1 4 89 164.30000000
1 4 90 126.30000000
1 4 91 117.60000000
1 4 92 126.20000000
1 4 93 139.50000000
1 4 94 145.30000000
1 4 95 135.00000000
1 4 96 123.70000000
1 4 97 134.10000000
1 4 98 127.50000000
1 4 99 111.10000000
1 4 100 160.50000000
1 5 1 122.70000000
1 5 2 136.70000000
1 5 3 112.90000000
1 5 4 109.80000000
1 5 5 121.00000000
1 5 6 125.30000000
1 5 7 137.90000000
1 5 8 114.10000000
1 5 9 134.80000000
1 5 10 115.30000000
1 5 11 111.40000000
1 5 12 164.70000000
1 5 13 112.80000000
1 5 14 125.50000000
1 5 15 115.00000000
1 5 16 159.60000000
1 5 17 126.90000000
1 5 18 136.90000000
1 5 19 104.30000000
1 5 20 107.00000000
1 5 21 109.90000000
1 5 22 112.90000000
1 5 23 119.20000000
1 5 24 124.10000000
1 5 25 163.20000000
1 5 26 171.70000000
1 5 27 118.50000000
1 5 28 138.30000000
1 5 29 138.00000000
1 5 30 160.00000000
1 5 31 121.00000000
1 5 32 113.00000000
1 5 33 120.60000000
1 5 34 117.60000000
1 5 35 116.50000000
1 5 36 115.20000000
1 5 37 109.00000000
1 5 38 126.20000000
1 5 39 155.20000000
1 5 40 161.80000000
1 5 41 130.30000000
1 5 42 133.80000000
1 5 43 151.10000000
1 5 44 152.40000000
1 5 45 144.40000000
1 5 46 141.90000000
1 5 47 143.90000000
1 5 48 114.00000000
1 5 49 131.30000000
1 5 50 135.40000000
1 5 51 152.30000000
1 5 52 121.90000000
1 5 53 118.90000000
1 5 54 148.30000000
1 5 55 139.80000000
1 5 56 170.20000000
1 5 57 123.80000000
1 5 58 152.10000000
1 5 59 146.00000000
1 5 60 147.20000000
1 5 61 153.70000000
1 5 62 160.60000000
1 5 63 137.80000000
1 5 64 129.40000000
1 5 65 121.80000000
1 5 66 124.00000000
1 5 67 178.10000000
1 5 68 134.30000000
1 5 69 145.10000000
1 5 70 140.00000000
1 5 71 133.30000000
1 5 72 128.70000000
1 5 73 132.80000000
1 5 74 126.40000000
1 5 75 145.50000000
1 5 76 133.60000000
1 5 77 125.40000000
1 5 78 123.70000000
1 5 79 161.60000000
1 5 80 116.30000000
1 5 81 139.40000000
1 5 82 162.30000000
1 5 83 161.70000000
1 5 84 196.70000000
1 5 85 147.10000000
1 5 86 164.10000000
1 5 87 157.60000000
1 5 88 177.20000000
1 5 89 169.40000000
1 5 90 232.50000000
1 5 91 178.60000000
1 5 92 199.30000000
1 5 93 1209.00000000
1 5 94 144.80000000
1 5 95 141.40000000
1 5 96 130.10000000
1 5 97 132.20000000
1 5 98 129.90000000
1 5 99 152.70000000
1 5 100 142.10000000
1 6 1 119.00000000
1 6 2 119.70000000
1 6 3 173.30000000
1 6 4 155.30000000
1 6 5 132.10000000
1 6 6 121.70000000
1 6 7 134.10000000
1 6 8 117.20000000
1 6 9 160.30000000
1 6 10 133.20000000
1 6 11 123.00000000
1 6 12 111.60000000
1 6 13 112.60000000
1 6 14 115.40000000
1 6 15 123.10000000
1 6 16 109.00000000
1 6 17 127.60000000
1 6 18 117.00000000
1 6 19 166.80000000
1 6 20 123.10000000
1 6 21 122.90000000
