s tiempo
1 1707506.35000000
10001 1608284.60000000
20001 1221226.30000000
30001 1436906.25000000
40001 1421268.05000000
50001 1474122.10000000
60001 1429457.35000000
70001 1842132.20000000
80001 1161803.65000000
90001 1183101.90000000
100001 1310122.85000000
110001 1212980.80000000
120001 1256374.10000000
130001 1483960.85000000
140001 1439882.90000000
150001 1215538.60000000
160001 1541902.25000000
170001 1347856.05000000
180001 1249833.60000000
190001 1212324.15000000
200001 1193583.15000000
210001 1680173.30000000
220001 1250015.40000000
230001 1610618.35000000
240001 1466324.15000000
250001 1624789.40000000
260001 1762962.60000000
270001 1253187.85000000
280001 1226956.15000000
290001 1252642.80000000
300001 1429541.35000000
310001 1138981.95000000
320001 2386705.55000000
330001 1292402.30000000
340001 1403715.05000000
350001 1338618.45000000
360001 1693966.85000000
370001 1146249.05000000
380001 1782737.45000000
390001 1312261.10000000
400001 1556548.35000000
410001 1845975.45000000
420001 1377399.80000000
430001 1340826.40000000
440001 1148820.65000000
450001 1615467.90000000
460001 1836402.40000000
470001 1638303.50000000
480001 1463612.85000000
490001 1536242.15000000
500001 1556171.00000000
510001 1301989.10000000
520001 1948218.25000000
530001 1233273.00000000
540001 1376868.60000000
550001 1213358.35000000
560001 1282647.55000000
570001 1314301.55000000
580001 1243377.20000000
590001 1238709.35000000
600001 1294093.15000000
610001 1242328.90000000
620001 1244732.70000000
630001 1368455.55000000
640001 1354019.15000000
650001 1278371.20000000
660001 1175569.20000000
670001 1560055.95000000
680001 1240302.50000000
690001 1192171.85000000
700001 1413483.80000000
710001 1203198.25000000
720001 1430603.50000000
730001 1275338.45000000
740001 1266729.70000000
750001 1453271.15000000
760001 1194044.50000000
770001 1271131.95000000
780001 1128626.30000000
790001 1083500.40000000
800001 1124713.30000000
810001 1279698.60000000
820001 1162991.45000000
830001 1221939.10000000
840001 1314623.00000000
850001 1266394.35000000
860001 1300535.80000000
870001 1207726.25000000
880001 1215552.40000000
890001 1304686.55000000
900001 1377511.45000000
910001 1274122.60000000
920001 1092458.50000000
930001 1305972.20000000
940001 1243530.90000000
950001 1258330.65000000
960001 1238863.00000000
970001 1269762.20000000
980001 1227473.35000000
990001 1651118.85000000
