s tiempo
1 1234458.35000000
2 2256613.60000000
3 3523464.45000000
4 4743116.65000000
5 6421681.85000000
6 7228334.90000000
7 8348128.05000000
8 9338253.75000000
9 10798355.60000000
10 12079356.40000000
11 13672645.60000000
12 14836704.10000000
13 16002089.65000000
14 16486103.50000000
15 17658738.75000000
16 19390048.20000000
17 20495454.15000000
18 21262534.75000000
19 23047887.35000000
20 23601561.00000000
21 24692132.55000000
22 25260375.25000000
23 26919217.40000000
24 28646420.05000000
25 30493121.45000000
26 29977720.75000000
27 33909379.65000000
28 33047230.75000000
29 34014211.10000000
30 36577442.05000000
31 36628244.75000000
32 37850481.05000000
33 40591038.90000000
34 40344247.65000000
35 43690496.85000000
36 44222547.70000000
37 46100188.60000000
38 48628401.20000000
39 46177991.90000000
40 50481611.50000000
41 49694276.75000000
42 50081951.85000000
43 51011190.05000000
44 52842973.05000000
45 53791194.20000000
46 56397307.35000000
47 56475962.65000000
48 57917794.20000000
49 56493898.00000000
