s n m tiempo
10000 100 1 14604.20000000
10000 100 6 12673.24166667
10000 100 11 12717.47272727
10000 100 16 12655.45625000
10000 100 21 12242.30952381
10000 100 26 12018.17115385
10000 100 31 12213.90322581
10000 100 36 12050.14444444
10000 100 41 13318.40731707
10000 100 46 13934.52934783
10000 100 51 12915.58725490
10000 100 56 12545.77142857
10000 100 61 12360.29754098
10000 100 66 12851.08106061
10000 100 71 11504.96830986
10000 100 76 11537.29736842
10000 100 81 16215.42098765
10000 100 86 11962.64302326
10000 100 91 14977.00494505
10000 100 96 15194.14322917
10000 100 101 11065.06831683
10000 100 106 11941.05094340
10000 100 111 12651.24369369
10000 100 116 15190.12112069
10000 100 121 12050.70000000
10000 100 126 11406.23611111
10000 100 131 13989.21603053
10000 100 136 11736.63382353
10000 100 141 12184.92163121
10000 100 146 11997.26541096
10000 100 151 14081.30364238
10000 100 156 11480.83878205
10000 100 161 12387.61770186
10000 100 166 12112.49246988
10000 100 171 15611.40526316
10000 100 176 13773.86875000
10000 100 181 13655.81685083
10000 100 186 13181.73145161
10000 100 191 12489.32748691
10000 100 196 13311.77270408
10000 100 201 11322.51766169
10000 100 206 12197.26334951
10000 100 211 14013.12559242
10000 100 216 12113.94537037
10000 100 221 12364.73529412
10000 100 226 13164.36725664
10000 100 231 12277.52034632
10000 100 236 10949.60042373
10000 100 241 11990.11804979
10000 100 246 13724.65081301
10000 100 251 12127.61314741
10000 100 256 12925.02265625
10000 100 261 12841.21072797
10000 100 266 12163.60733083
10000 100 271 11206.49225092
10000 100 276 12500.44746377
10000 100 281 13254.74430605
10000 100 286 12835.62272727
10000 100 291 11803.74707904
10000 100 296 14130.99746622
10000 100 301 11667.09684385
10000 100 306 13425.18169935
10000 100 311 13400.36816720
10000 100 316 11596.30886076
10000 100 321 14673.30529595
10000 100 326 12223.91978528
10000 100 331 13709.96359517
10000 100 336 11978.44434524
10000 100 341 12545.46217009
10000 100 346 12666.01011561
10000 100 351 12487.13547009
10000 100 356 12229.82696629
10000 100 361 14195.12756233
10000 100 366 13002.24275956
10000 100 371 12376.07331536
10000 100 376 12756.01170213
10000 100 381 12785.84068241
10000 100 386 12170.37033679
10000 100 391 12705.49450128
10000 100 396 12471.17272727
10000 100 401 13139.72306733
10000 100 406 12550.04076355
10000 100 411 12239.18199513
10000 100 416 12003.32019231
10000 100 421 12316.70071259
10000 100 426 12243.72042254
10000 100 431 12945.19002320
10000 100 436 13933.21766055
10000 100 441 12435.14353741
10000 100 446 12932.98789238
10000 100 451 12332.17339246
10000 100 456 12161.86063596
10000 100 461 14244.89240781
10000 100 466 12474.67135193
10000 100 471 11982.00318471
10000 100 476 12149.41617647
10000 100 481 13452.57744283
10000 100 486 13056.29598765
10000 100 491 14873.07107943
10000 100 496 11900.19838710
