s n m tiempo
10000 1 100 26022.00000000
10000 6 100 81391.65000000
10000 11 100 133183.85000000
10000 16 100 207727.80000000
10000 21 100 244021.50000000
10000 26 100 329438.05000000
10000 31 100 356368.30000000
10000 36 100 466758.55000000
10000 41 100 535097.60000000
10000 46 100 540841.50000000
10000 51 100 598810.95000000
10000 56 100 670489.65000000
10000 61 100 799858.50000000
10000 66 100 772984.05000000
10000 71 100 854613.45000000
10000 76 100 842720.50000000
10000 81 100 1050741.75000000
10000 86 100 1091619.10000000
10000 91 100 1166973.70000000
10000 96 100 1193917.45000000
10000 101 100 1210884.50000000
10000 106 100 1778405.80000000
10000 111 100 1299809.30000000
10000 116 100 1477769.95000000
10000 121 100 1647387.40000000
10000 126 100 1719247.90000000
10000 131 100 2128820.10000000
10000 136 100 1779495.15000000
10000 141 100 1873143.35000000
10000 146 100 2105453.90000000
10000 151 100 1993176.75000000
10000 156 100 2407081.45000000
10000 161 100 2165183.80000000
10000 166 100 2222314.60000000
10000 171 100 2311909.95000000
10000 176 100 2409121.70000000
10000 181 100 2702238.30000000
10000 186 100 2663666.75000000
10000 191 100 2630601.40000000
10000 196 100 2830279.65000000
10000 201 100 2615689.80000000
10000 206 100 2704153.10000000
10000 211 100 2848950.50000000
10000 216 100 2787151.80000000
10000 221 100 2807988.95000000
10000 226 100 3012125.45000000
10000 231 100 3685829.70000000
10000 236 100 3514297.70000000
10000 241 100 3269130.05000000
10000 246 100 3796178.30000000
10000 251 100 3290875.65000000
10000 256 100 3691419.75000000
10000 261 100 3960638.95000000
10000 266 100 3682294.05000000
10000 271 100 3336700.40000000
10000 276 100 3892313.95000000
10000 281 100 3760010.50000000
10000 286 100 3955230.50000000
10000 291 100 3962819.00000000
10000 296 100 4406588.95000000
10000 301 100 4063510.65000000
10000 306 100 4145279.90000000
10000 311 100 4088065.25000000
10000 316 100 4189175.95000000
10000 321 100 4180818.85000000
10000 326 100 4728536.30000000
10000 331 100 4583193.85000000
10000 336 100 5144020.20000000
10000 341 100 5097594.70000000
10000 346 100 5709724.10000000
10000 351 100 4578358.35000000
10000 356 100 4924567.05000000
10000 361 100 4653908.60000000
10000 366 100 4897063.75000000
10000 371 100 5342734.20000000
10000 376 100 5045774.40000000
10000 381 100 5306119.15000000
10000 386 100 5144495.40000000
10000 391 100 5749148.20000000
10000 396 100 5393687.90000000
10000 401 100 5696964.75000000
10000 406 100 5838044.85000000
10000 411 100 5520694.95000000
10000 416 100 5356234.35000000
10000 421 100 5633000.05000000
10000 426 100 5766505.45000000
10000 431 100 5583457.85000000
10000 436 100 5708787.65000000
10000 441 100 6791729.15000000
10000 446 100 6485335.75000000
10000 451 100 6333578.50000000
10000 456 100 6666594.65000000
10000 461 100 6212357.60000000
10000 466 100 6230623.15000000
10000 471 100 6221846.65000000
10000 476 100 6297676.25000000
10000 481 100 6555184.25000000
10000 486 100 6834856.80000000
10000 491 100 6679885.05000000
10000 496 100 6563960.65000000
