n km kb nanosegundos km*kb n*km*kb div-(km*kb) div-(n*km*kb)
5 5 2 2474900.00000000 10 50 247490.00000000 49498.00000000
5 3 3 3507400.00000000 9 45 389711.11111111 77942.22222222
5 5 5 2578500.00000000 25 125 103140.00000000 20628.00000000
6 5 4 2747700.00000000 20 120 137385.00000000 22897.50000000
6 3 3 3997800.00000000 9 54 444200.00000000 74033.33333333
6 1 4 3812800.00000000 4 24 953200.00000000 158866.66666667
6 4 5 2449000.00000000 20 120 122450.00000000 20408.33333333
6 6 4 2312100.00000000 24 144 96337.50000000 16056.25000000
6 2 1 2391800.00000000 2 12 1195900.00000000 199316.66666667
6 1 3 2437200.00000000 3 18 812400.00000000 135400.00000000
6 4 6 2566500.00000000 24 144 106937.50000000 17822.91666667
6 4 6 2833100.00000000 24 144 118045.83333333 19674.30555556
6 3 4 2917400.00000000 12 72 243116.66666667 40519.44444444
7 1 3 2324900.00000000 3 21 774966.66666667 110709.52380952
7 7 3 2161000.00000000 21 147 102904.76190476 14700.68027211
7 3 3 3211100.00000000 9 63 356788.88888889 50969.84126984
7 5 2 2341100.00000000 10 70 234110.00000000 33444.28571429
7 1 7 2541700.00000000 7 49 363100.00000000 51871.42857143
7 3 3 2809000.00000000 9 63 312111.11111111 44587.30158730
7 4 3 2957900.00000000 12 84 246491.66666667 35213.09523810
7 2 3 2743200.00000000 6 42 457200.00000000 65314.28571429
7 2 1 2555900.00000000 2 14 1277950.00000000 182564.28571429
7 6 5 2634600.00000000 30 210 87820.00000000 12545.71428571
8 6 4 3310900.00000000 24 192 137954.16666667 17244.27083333
8 4 2 2663400.00000000 8 64 332925.00000000 41615.62500000
8 6 8 3298700.00000000 48 384 68722.91666667 8590.36458333
8 8 6 3188200.00000000 48 384 66420.83333333 8302.60416667
8 7 6 2697500.00000000 42 336 64226.19047619 8028.27380952
8 5 4 2931000.00000000 20 160 146550.00000000 18318.75000000
8 2 2 3211000.00000000 4 32 802750.00000000 100343.75000000
8 2 3 2697600.00000000 6 48 449600.00000000 56200.00000000
8 3 1 2206800.00000000 3 24 735600.00000000 91950.00000000
8 4 1 2954100.00000000 4 32 738525.00000000 92315.62500000
9 7 5 3592800.00000000 35 315 102651.42857143 11405.71428571
9 5 1 2946900.00000000 5 45 589380.00000000 65486.66666667
9 7 1 2453000.00000000 7 63 350428.57142857 38936.50793651
9 9 3 2527300.00000000 27 243 93603.70370370 10400.41152263
9 8 6 2557700.00000000 48 432 53285.41666667 5920.60185185
9 5 3 2892700.00000000 15 135 192846.66666667 21427.40740741
9 7 9 3073900.00000000 63 567 48792.06349206 5421.34038801
9 2 8 3811800.00000000 16 144 238237.50000000 26470.83333333
9 1 6 2556000.00000000 6 54 426000.00000000 47333.33333333
9 4 6 2900800.00000000 24 216 120866.66666667 13429.62962963
10 2 6 2890900.00000000 12 120 240908.33333333 24090.83333333
10 4 8 4208800.00000000 32 320 131525.00000000 13152.50000000
10 1 3 2897800.00000000 3 30 965933.33333333 96593.33333333
10 5 3 2443300.00000000 15 150 162886.66666667 16288.66666667
10 1 4 2866500.00000000 4 40 716625.00000000 71662.50000000
10 6 1 2929400.00000000 6 60 488233.33333333 48823.33333333
10 10 5 3213400.00000000 50 500 64268.00000000 6426.80000000
10 2 6 2522300.00000000 12 120 210191.66666667 21019.16666667
10 6 6 3046500.00000000 36 360 84625.00000000 8462.50000000
10 10 1 2618200.00000000 10 100 261820.00000000 26182.00000000
11 8 6 3582600.00000000 48 528 74637.50000000 6785.22727273
11 1 6 2956100.00000000 6 66 492683.33333333 44789.39393939
11 8 3 6382300.00000000 24 264 265929.16666667 24175.37878788
11 7 7 11924400.00000000 49 539 243355.10204082 22123.19109462
11 5 6 9770400.00000000 30 330 325680.00000000 29607.27272727
11 4 10 4620100.00000000 40 440 115502.50000000 10500.22727273
11 11 8 3409400.00000000 88 968 38743.18181818 3522.10743802
11 4 11 4065100.00000000 44 484 92388.63636364 8398.96694215
11 1 6 2329200.00000000 6 66 388200.00000000 35290.90909091
11 10 9 3377200.00000000 90 990 37524.44444444 3411.31313131
12 1 3 2555700.00000000 3 36 851900.00000000 70991.66666667
12 12 12 3678400.00000000 144 1728 25544.44444444 2128.70370370
12 3 5 2966700.00000000 15 180 197780.00000000 16481.66666667
12 8 12 3288800.00000000 96 1152 34258.33333333 2854.86111111
12 11 2 2694400.00000000 22 264 122472.72727273 10206.06060606
12 3 5 2722800.00000000 15 180 181520.00000000 15126.66666667
12 11 1 3145400.00000000 11 132 285945.45454545 23828.78787879
12 1 4 2435000.00000000 4 48 608750.00000000 50729.16666667
12 12 11 3234400.00000000 132 1584 24503.03030303 2041.91919192
12 8 6 2959000.00000000 48 576 61645.83333333 5137.15277778
13 1 3 2780800.00000000 3 39 926933.33333333 71302.56410256
13 13 8 3754400.00000000 104 1352 36100.00000000 2776.92307692
13 1 1 2458600.00000000 1 13 2458600.00000000 189123.07692308
13 7 11 3713200.00000000 77 1001 48223.37662338 3709.49050949
13 1 6 2592900.00000000 6 78 432150.00000000 33242.30769231
13 3 2 2594400.00000000 6 78 432400.00000000 33261.53846154
13 11 1 3101200.00000000 11 143 281927.27272727 21686.71328671
13 2 8 2527700.00000000 16 208 157981.25000000 12152.40384615
13 1 2 2588400.00000000 2 26 1294200.00000000 99553.84615385
13 8 4 3005700.00000000 32 416 93928.12500000 7225.24038462
14 9 5 3878500.00000000 45 630 86188.88888889 6156.34920635
14 3 9 2954300.00000000 27 378 109418.51851852 7815.60846561
14 3 14 2794100.00000000 42 588 66526.19047619 4751.87074830
14 5 5 2589100.00000000 25 350 103564.00000000 7397.42857143
14 7 9 3855200.00000000 63 882 61193.65079365 4370.97505669
14 8 14 3258800.00000000 112 1568 29096.42857143 2078.31632653
14 2 9 3048200.00000000 18 252 169344.44444444 12096.03174603
14 4 4 3382200.00000000 16 224 211387.50000000 15099.10714286
14 9 2 3117900.00000000 18 252 173216.66666667 12372.61904762
14 2 12 2684900.00000000 24 336 111870.83333333 7990.77380952
15 13 4 3117100.00000000 52 780 59944.23076923 3996.28205128
15 13 13 3766300.00000000 169 2535 22285.79881657 1485.71992110
15 13 11 3905000.00000000 143 2145 27307.69230769 1820.51282051
15 3 11 2821400.00000000 33 495 85496.96969697 5699.79797980
15 9 13 3657800.00000000 117 1755 31263.24786325 2084.21652422
