n km kb nanosegundos km*kb n*km*kb div-(km*kb) div-(n*km*kb)
43 28 4 5134200.00000000 112 4816 45841.07142857 1066.07142857
43 7 41 8020100.00000000 287 12341 27944.59930314 649.87440240
43 41 32 19911400.00000000 1312 56416 15176.37195122 352.93888259
43 4 20 4593500.00000000 80 3440 57418.75000000 1335.31976744
43 26 22 12343300.00000000 572 24596 21579.19580420 501.84176289
43 27 10 6980800.00000000 270 11610 25854.81481481 601.27476314
43 3 42 5640800.00000000 126 5418 44768.25396825 1041.12218531
43 29 9 6857700.00000000 261 11223 26274.71264368 611.03982892
44 5 5 3275400.00000000 25 1100 131016.00000000 2977.63636364
44 2 27 4082800.00000000 54 2376 75607.40740741 1718.35016835
44 9 43 8465100.00000000 387 17028 21873.64341085 497.12825934
44 37 41 22690600.00000000 1517 66748 14957.54779169 339.94426799
44 22 42 14654500.00000000 924 40656 15859.84848485 360.45110193
44 43 9 10401800.00000000 387 17028 26878.03617571 610.86445854
44 3 6 4146500.00000000 18 792 230361.11111111 5235.47979798
44 9 2 3434000.00000000 18 792 190777.77777778 4335.85858586
44 40 28 19571600.00000000 1120 49280 17474.64285714 397.15097403
44 41 9 9357700.00000000 369 16236 25359.62059621 576.35501355
45 30 38 19403600.00000000 1140 51300 17020.70175439 378.23781676
45 8 8 6215600.00000000 64 2880 97118.75000000 2158.19444444
45 44 32 20845800.00000000 1408 63360 14805.25568182 329.00568182
45 20 36 14346000.00000000 720 32400 19925.00000000 442.77777778
45 21 15 7641500.00000000 315 14175 24258.73015873 539.08289242
45 38 18 14780800.00000000 684 30780 21609.35672515 480.20792723
45 11 3 4154200.00000000 33 1485 125884.84848485 2797.44107744
45 39 34 20989400.00000000 1326 59670 15829.11010558 351.75800235
45 32 16 12052700.00000000 512 23040 23540.42968750 523.12065972
45 40 31 20062800.00000000 1240 55800 16179.67741935 359.54838710
46 9 31 7544200.00000000 279 12834 27040.14336918 587.82920368
46 36 30 19575600.00000000 1080 49680 18125.55555556 394.03381643
46 25 28 15000600.00000000 700 32200 21429.42857143 465.85714286
46 8 24 6526500.00000000 192 8832 33992.18750000 738.96059783
46 37 7 8476300.00000000 259 11914 32727.02702703 711.45710928
46 8 13 5318300.00000000 104 4784 51137.50000000 1111.68478261
46 28 8 7426700.00000000 224 10304 33154.91071429 720.75892857
46 26 15 9619200.00000000 390 17940 24664.61538462 536.18729097
46 35 29 17232700.00000000 1015 46690 16978.02955665 369.08759906
46 18 24 9831000.00000000 432 19872 22756.94444444 494.71618357
47 35 16 12322700.00000000 560 26320 22004.82142857 468.18768997
47 45 24 19298600.00000000 1080 50760 17869.07407407 380.19306541
47 33 30 16985200.00000000 990 46530 17156.76767677 365.03761014
47 31 22 14896200.00000000 682 32054 21841.93548387 464.72203157
47 29 5 6756200.00000000 145 6815 46594.48275862 991.37197359
47 28 36 19835000.00000000 1008 47376 19677.57936508 418.67190138
47 4 37 5485600.00000000 148 6956 37064.86486486 788.61414606
47 20 15 8609100.00000000 300 14100 28697.00000000 610.57446809
47 9 10 5065700.00000000 90 4230 56285.55555556 1197.56501182
47 38 35 22780400.00000000 1330 62510 17128.12030075 364.42809151
48 10 48 11935400.00000000 480 23040 24865.41666667 518.02951389
48 47 46 31667300.00000000 2162 103776 14647.22479186 305.15051650
48 47 35 25632700.00000000 1645 78960 15582.18844985 324.62892604
48 35 31 21066000.00000000 1085 52080 19415.66820276 404.49308756
48 48 8 10759800.00000000 384 18432 28020.31250000 583.75651042
48 42 23 18851700.00000000 966 46368 19515.21739130 406.56702899
48 30 32 17117500.00000000 960 46080 17830.72916667 371.47352431
48 45 29 22075700.00000000 1305 62640 16916.24521073 352.42177522
48 47 23 20895100.00000000 1081 51888 19329.41720629 402.69619180
48 31 4 5586100.00000000 124 5952 45049.19354839 938.52486559
49 15 35 12186700.00000000 525 25725 23212.76190476 473.72983479
49 8 9 4704900.00000000 72 3528 65345.83333333 1333.58843537
49 12 41 12006400.00000000 492 24108 24403.25203252 498.02555168
49 42 14 15369400.00000000 588 28812 26138.43537415 533.43745662
49 33 8 8140100.00000000 264 12936 30833.71212121 629.25943105
49 24 25 13474700.00000000 600 29400 22457.83333333 458.32312925
49 30 12 10296100.00000000 360 17640 28600.27777778 583.67913832
49 21 20 11470400.00000000 420 20580 27310.47619048 557.35665695
49 38 32 22168600.00000000 1216 59584 18230.75657895 372.05625671
49 46 12 11546700.00000000 552 27048 20917.93478261 426.89662822
50 50 14 15481000.00000000 700 35000 22115.71428571 442.31428571
50 8 13 5311400.00000000 104 5200 51071.15384615 1021.42307692
50 20 42 16591600.00000000 840 42000 19751.90476190 395.03809524
50 7 50 9465100.00000000 350 17500 27043.14285714 540.86285714
50 32 28 17615900.00000000 896 44800 19660.60267857 393.21205357
50 12 25 9328500.00000000 300 15000 31095.00000000 621.90000000
50 15 3 4888300.00000000 45 2250 108628.88888889 2172.57777778
50 2 3 2859300.00000000 6 300 476550.00000000 9531.00000000
50 43 8 9838800.00000000 344 17200 28601.16279070 572.02325581
50 49 4 9151200.00000000 196 9800 46689.79591837 933.79591837
51 42 48 31284900.00000000 2016 102816 15518.30357143 304.28046218
51 18 8 8514000.00000000 144 7344 59125.00000000 1159.31372549
51 27 48 21639700.00000000 1296 66096 16697.29938272 327.39802711
51 33 26 16107800.00000000 858 43758 18773.65967366 368.11097399
51 2 45 5017500.00000000 90 4590 55750.00000000 1093.13725490
51 40 29 21275400.00000000 1160 59160 18340.86206897 359.62474645
51 50 47 35417900.00000000 2350 119850 15071.44680851 295.51856487
51 48 7 12551500.00000000 336 17136 37355.65476190 732.46381886
51 26 18 12103000.00000000 468 23868 25861.11111111 507.08061002
51 24 22 12963300.00000000 528 26928 24551.70454545 481.40597148
52 26 44 21731500.00000000 1144 59488 18996.06643357 365.30896988
52 44 33 24480100.00000000 1452 75504 16859.57300275 324.22255775
52 33 21 13818400.00000000 693 36036 19939.97113997 383.46098346
52 12 46 12584400.00000000 552 28704 22797.82608696 438.41973244
52 22 30 14591100.00000000 660 34320 22107.72727273 425.14860140
52 8 10 5997500.00000000 80 4160 74968.75000000 1441.70673077
52 38 19 16180100.00000000 722 37544 22410.11080332 430.96366929
52 23 49 22276500.00000000 1127 58604 19766.19343390 380.11910450
52 30 3 8717700.00000000 90 4680 96863.33333333 1862.75641026
52 44 23 20793200.00000000 1012 52624 20546.64031621 395.12769839
53 7 20 5903400.00000000 140 7420 42167.14285714 795.60646900
53 15 4 5117100.00000000 60 3180 85285.00000000 1609.15094340
53 53 14 16870900.00000000 742 39326 22737.06199461 429.00116971
53 18 1 3585000.00000000 18 954 199166.66666667 3757.86163522
53 53 28 23928400.00000000 1484 78652 16124.25876011 304.23129736
53 12 21 8722500.00000000 252 13356 34613.09523810 653.07726864
53 10 26 7705800.00000000 260 13780 29637.69230769 559.20174165
53 24 43 19355000.00000000 1032 54696 18754.84496124 353.86499927
53 35 30 19845500.00000000 1050 55650 18900.47619048 356.61275831
53 43 14 14690100.00000000 602 31906 24402.15946844 460.41810318
54 47 44 36619800.00000000 2068 111672 17707.83365571 327.92284548
54 31 39 23290300.00000000 1209 65286 19264.10256410 356.74264008
54 48 31 26568800.00000000 1488 80352 17855.37634409 330.65511748
54 24 12 9364600.00000000 288 15552 32515.97222222 602.14763374
54 19 41 15186200.00000000 779 42066 19494.48010270 361.00889079
54 37 36 24756200.00000000 1332 71928 18585.73573574 344.18029140
54 8 51 10380200.00000000 408 22032 25441.66666667 471.14197531
54 50 29 25181500.00000000 1450 78300 17366.55172414 321.60280971
54 3 50 7671800.00000000 150 8100 51145.33333333 947.13580247
54 11 51 13581000.00000000 561 30294 24208.55614973 448.30659537
55 39 48 33234400.00000000 1872 102960 17753.41880342 322.78943279
55 5 19 5218400.00000000 95 5225 54930.52631579 998.73684211
55 25 37 20212500.00000000 925 50875 21851.35135135 397.29729730
55 29 39 22139200.00000000 1131 62205 19574.88947834 355.90708142
55 46 47 35668800.00000000 2162 118910 16498.05735430 299.96467917
55 52 41 34967000.00000000 2132 117260 16401.03189493 298.20057991
55 12 24 10105600.00000000 288 15840 35088.88888889 637.97979798
55 2 2 2961200.00000000 4 220 740300.00000000 13460.00000000
55 52 44 39008700.00000000 2288 125840 17049.25699301 309.98649078
55 19 1 4414800.00000000 19 1045 232357.89473684 4224.68899522
56 20 24 12387300.00000000 480 26880 25806.87500000 460.83705357
56 52 44 38928400.00000000 2288 128128 17014.16083916 303.82430070
56 38 8 9741600.00000000 304 17024 32044.73684211 572.22744361
56 6 6 3610600.00000000 36 2016 100294.44444444 1790.97222222
56 49 54 42800000.00000000 2646 148176 16175.35903250 288.84569701
56 52 46 38490900.00000000 2392 133952 16091.51337793 287.34845318
56 18 22 10514500.00000000 396 22176 26551.76767677 474.13870851
56 12 49 14843800.00000000 588 32928 25244.55782313 450.79567541
56 15 33 14496500.00000000 495 27720 29285.85858586 522.96176046
56 36 20 18596500.00000000 720 40320 25828.47222222 461.22271825
57 30 7 7991900.00000000 210 11970 38056.66666667 667.66081871
57 36 26 18622900.00000000 936 53352 19896.26068376 349.05720498
57 21 36 16178500.00000000 756 43092 21400.13227513 375.44091711
57 45 19 19605800.00000000 855 48735 22930.76023392 402.29403919
57 1 23 4127900.00000000 23 1311 179473.91304348 3148.66514111
57 3 12 3698100.00000000 36 2052 102725.00000000 1802.19298246
57 46 41 31958900.00000000 1886 107502 16945.33404030 297.28656211
57 52 10 13765000.00000000 520 29640 26471.15384615 464.40620783
57 34 57 31475900.00000000 1938 110466 16241.43446852 284.93744682
57 43 53 39243100.00000000 2279 129903 17219.43835015 302.09540965
58 1 20 3735000.00000000 20 1160 186750.00000000 3219.82758621
58 18 42 17897700.00000000 756 43848 23674.20634921 408.17597154
58 30 27 16517200.00000000 810 46980 20391.60493827 351.57939549
58 5 36 8149300.00000000 180 10440 45273.88888889 780.58429119
58 9 46 10776400.00000000 414 24012 26029.95169082 448.79227053
58 1 21 3223600.00000000 21 1218 153504.76190476 2646.63382594
58 34 24 17110500.00000000 816 47328 20968.75000000 361.53017241
58 27 51 25945800.00000000 1377 79866 18842.26579521 324.86665164
58 26 49 24250200.00000000 1274 73892 19034.69387755 328.18437720
58 52 2 7428500.00000000 104 6032 71427.88461538 1231.51525199
59 3 35 7589400.00000000 105 6195 72280.00000000 1225.08474576
59 19 30 15499100.00000000 570 33630 27191.40350877 460.87124591
59 53 59 50478300.00000000 3127 184493 16142.72465622 273.60550265
59 4 51 9351700.00000000 204 12036 45841.66666667 776.97740113
59 20 50 19596900.00000000 1000 59000 19596.90000000 332.15084746
59 51 28 28217300.00000000 1428 84252 19760.01400560 334.91549162
59 49 18 18015600.00000000 882 52038 20425.85034014 346.20085322
59 6 20 6579500.00000000 120 7080 54829.16666667 929.30790960
59 44 27 22961900.00000000 1188 70092 19328.19865320 327.59658734
59 17 58 20368500.00000000 986 58174 20657.70791075 350.13064256
60 1 20 3702400.00000000 20 1200 185120.00000000 3085.33333333
60 5 10 4639400.00000000 50 3000 92788.00000000 1546.46666667
60 47 11 14805200.00000000 517 31020 28636.75048356 477.27917473
60 2 40 4463400.00000000 80 4800 55792.50000000 929.87500000
60 11 21 8537700.00000000 231 13860 36959.74025974 615.99567100
60 36 43 30043100.00000000 1548 92880 19407.68733850 323.46145564
60 40 54 38792500.00000000 2160 129600 17959.49074074 299.32484568
60 13 19 8821700.00000000 247 14820 35715.38461538 595.25641026
60 47 20 20575600.00000000 940 56400 21888.93617021 364.81560284
60 16 58 20059300.00000000 928 55680 21615.62500000 360.26041667
61 37 12 13848900.00000000 444 27084 31191.21621622 511.33141338
61 3 41 7010000.00000000 123 7503 56991.86991870 934.29294949
61 27 58 28393100.00000000 1566 95526 18130.97062580 297.22902665
61 22 36 17169700.00000000 792 48312 21678.91414141 355.39203511
61 46 12 14186200.00000000 552 33672 25699.63768116 421.30553576
61 12 25 9829700.00000000 300 18300 32765.66666667 537.14207650
61 29 31 20760800.00000000 899 54839 23093.21468298 378.57728988
61 30 43 26197400.00000000 1290 78690 20308.06201550 332.91904943
61 20 31 15903400.00000000 620 37820 25650.64516129 420.50237969
61 20 35 18749700.00000000 700 42700 26785.28571429 439.10304450
62 41 24 23116500.00000000 984 61008 23492.37804878 378.90932337
62 22 58 26414600.00000000 1276 79112 20701.09717868 333.88866417
62 56 62 57975100.00000000 3472 215264 16697.89746544 269.32092686
62 3 57 8147700.00000000 171 10602 47647.36842105 768.50594228
62 14 4 8193200.00000000 56 3472 146307.14285714 2359.79262673
62 50 18 20235500.00000000 900 55800 22483.88888889 362.64336918
62 23 37 20271900.00000000 851 52762 23821.26909518 384.21401766
62 58 31 33766200.00000000 1798 111476 18779.86651835 302.90107288
62 49 29 28235800.00000000 1421 88102 19870.37297678 320.48988672
62 10 19 9462600.00000000 190 11780 49803.15789474 803.27674024
63 12 49 16939300.00000000 588 37044 28808.33333333 457.27513228
63 40 51 38258300.00000000 2040 128520 18754.06862745 297.68362901
63 18 4 4812400.00000000 72 4536 66838.88888889 1060.93474427
63 7 39 9150900.00000000 273 17199 33519.78021978 532.06000349
63 36 6 10014100.00000000 216 13608 46361.57407407 735.89800118
63 43 16 19171800.00000000 688 43344 27865.98837209 442.31727575
63 47 12 16272100.00000000 564 35532 28851.24113475 457.95620849
63 35 13 14179900.00000000 455 28665 31164.61538462 494.67643468
63 19 23 12047400.00000000 437 27531 27568.42105263 437.59398496
63 8 32 12390900.00000000 256 16128 48401.95312500 768.28497024
64 54 25 26697100.00000000 1350 86400 19775.62962963 308.99421296
64 14 64 19143900.00000000 896 57344 21365.95982143 333.84312221
64 2 6 3600600.00000000 12 768 300050.00000000 4688.28125000
64 60 38 44185600.00000000 2280 145920 19379.64912281 302.80701754
64 48 35 31852000.00000000 1680 107520 18959.52380952 296.24255952
64 10 60 15752400.00000000 600 38400 26254.00000000 410.21875000
64 6 15 4851300.00000000 90 5760 53903.33333333 842.23958333
64 60 50 51502000.00000000 3000 192000 17167.33333333 268.23958333
64 19 62 24287400.00000000 1178 75392 20617.48726655 322.14823854
64 14 25 11940800.00000000 350 22400 34116.57142857 533.07142857
65 52 17 22821100.00000000 884 57460 25815.72398190 397.16498434
65 6 24 7604400.00000000 144 9360 52808.33333333 812.43589744
65 56 39 40914400.00000000 2184 141960 18733.69963370 288.21076360
65 48 16 19064900.00000000 768 49920 24824.08854167 381.90905449
65 19 32 16609700.00000000 608 39520 27318.58552632 420.28593117
65 3 24 6514800.00000000 72 4680 90483.33333333 1392.05128205
65 15 59 20987300.00000000 885 57525 23714.46327684 364.83789657
65 11 45 14217800.00000000 495 32175 28722.82828283 441.88966589
65 48 27 26745200.00000000 1296 84240 20636.72839506 317.48812915
65 1 37 4582100.00000000 37 2405 123840.54054054 1905.23908524
66 35 38 27880900.00000000 1330 87780 20963.08270677 317.62246525
66 24 57 29644700.00000000 1368 90288 21670.10233918 328.33488393
66 13 61 21468400.00000000 793 52338 27072.38335435 410.18762658
66 54 29 32064200.00000000 1566 103356 20475.22349936 310.23065908
66 12 28 10927700.00000000 336 22176 32522.91666667 492.77146465
66 21 38 20412500.00000000 798 52668 25579.57393484 387.56930204
66 35 58 39285600.00000000 2030 133980 19352.51231527 293.21988356
66 14 11 8970600.00000000 154 10164 58250.64935065 882.58559622
66 36 58 38591300.00000000 2088 137808 18482.42337165 280.03671775
66 34 42 28673100.00000000 1428 94248 20079.20168067 304.23032850
67 45 5 10957900.00000000 225 15075 48701.77777778 726.89220564
67 14 1 4322100.00000000 14 938 308721.42857143 4607.78251599
67 3 18 4166400.00000000 54 3618 77155.55555556 1151.57545605
67 23 15 11766200.00000000 345 23115 34104.92753623 509.02876920
67 36 51 37813900.00000000 1836 123012 20595.80610022 307.40009105
67 27 32 22312000.00000000 864 57888 25824.07407407 385.43394140
67 65 20 27821300.00000000 1300 87100 21401.00000000 319.41791045
67 10 17 9258400.00000000 170 11390 54461.17647059 812.85338016
67 39 30 25164100.00000000 1170 78390 21507.77777778 321.01160862
67 13 51 16539800.00000000 663 44421 24946.90799397 372.34191036
68 18 35 19510800.00000000 630 42840 30969.52380952 455.43417367
68 41 44 34589400.00000000 1804 122672 19173.72505543 281.96654493
68 3 26 5501800.00000000 78 5304 70535.89743590 1037.29260935
68 9 33 10478800.00000000 297 20196 35282.15488215 518.85521886
68 44 25 26005200.00000000 1100 74800 23641.09090909 347.66310160
68 1 10 3780300.00000000 10 680 378030.00000000 5559.26470588
68 38 51 36252300.00000000 1938 131784 18706.03715170 275.08878164
68 65 1 7845800.00000000 65 4420 120704.61538462 1775.06787330
68 65 47 54408800.00000000 3055 207740 17809.75450082 261.90815442
68 51 27 30271100.00000000 1377 93636 21983.36964415 323.28484771
69 31 35 25918300.00000000 1085 74865 23887.83410138 346.20049422
69 3 30 6864900.00000000 90 6210 76276.66666667 1105.45893720
69 54 7 12610900.00000000 378 26082 33362.16931217 483.50970018
69 47 32 32620600.00000000 1504 103776 21689.22872340 314.33664817
69 65 50 58034600.00000000 3250 224250 17856.80000000 258.79420290
69 40 38 31716600.00000000 1520 104880 20866.18421053 302.40846682
69 41 16 17638600.00000000 656 45264 26888.10975610 389.68275009
69 44 23 24340200.00000000 1012 69828 24051.58102767 348.57363808
69 28 31 20610400.00000000 868 59892 23744.70046083 344.12609364
69 20 37 19283500.00000000 740 51060 26058.78378378 377.66353310
70 47 57 50929100.00000000 2679 187530 19010.48898843 271.57841412
70 52 3 9257200.00000000 156 10920 59341.02564103 847.72893773
70 11 3 4553100.00000000 33 2310 137972.72727273 1971.03896104
70 51 63 59235800.00000000 3213 224910 18436.29007158 263.37557245
70 41 17 19580400.00000000 697 48790 28092.39598278 401.31994261
70 52 46 47361500.00000000 2392 167440 19799.95819398 282.85654563
70 47 27 28729100.00000000 1269 88830 22639.16469661 323.41663852
70 40 42 34183900.00000000 1680 117600 20347.55952381 290.67942177
70 54 42 44587600.00000000 2268 158760 19659.43562610 280.84908037
70 40 4 9651100.00000000 160 11200 60319.37500000 861.70535714
71 70 27 38792600.00000000 1890 134190 20525.18518519 289.08711528
71 55 13 21906700.00000000 715 50765 30638.74125874 431.53156702
71 48 51 47835300.00000000 2448 173808 19540.56372549 275.21920740
71 67 62 76873200.00000000 4154 294934 18505.82571016 260.64543254
71 42 22 25228900.00000000 924 65604 27304.00432900 384.56344125
71 12 15 8921100.00000000 180 12780 49561.66666667 698.05164319
71 58 15 21454100.00000000 870 61770 24659.88505747 347.32232475
71 65 3 10955600.00000000 195 13845 56182.56410256 791.30371975
71 35 67 46824500.00000000 2345 166495 19967.80383795 281.23667377
71 67 59 72348300.00000000 3953 280663 18302.12496838 257.77640801
72 32 8 11927300.00000000 256 18432 46591.01562500 647.09743924
72 32 51 37703600.00000000 1632 117504 23102.69607843 320.87077887
72 62 60 68664100.00000000 3720 267840 18458.09139785 256.36238053
72 39 59 45498400.00000000 2301 165672 19773.31594959 274.62938819
72 41 60 48526000.00000000 2460 177120 19726.01626016 273.97244806
72 14 4 5127600.00000000 56 4032 91564.28571429 1271.72619048
72 68 56 68713500.00000000 3808 274176 18044.51155462 250.61821604
72 65 54 65973100.00000000 3510 252720 18795.75498575 261.05215258
72 22 63 29955600.00000000 1386 99792 21612.98701299 300.18037518
72 13 64 21384700.00000000 832 59904 25702.76442308 356.98283921
73 63 33 44119200.00000000 2079 151767 21221.35642136 290.70351262
73 22 50 24426100.00000000 1100 80300 22205.54545455 304.18555417
73 6 62 14555900.00000000 372 27156 39128.76344086 536.01045809
73 38 42 32134200.00000000 1596 116508 20134.21052632 275.81110310
73 53 62 60901200.00000000 3286 239878 18533.53621424 253.88405773
73 9 47 14070500.00000000 423 30879 33263.59338061 455.66566275
73 10 15 8670700.00000000 150 10950 57804.66666667 791.84474886
73 58 32 40004900.00000000 1856 135488 21554.36422414 295.26526334
73 22 57 29909000.00000000 1254 91542 23850.87719298 326.72434511
73 52 70 66704500.00000000 3640 265720 18325.41208791 251.03304230
74 10 10 6717300.00000000 100 7400 67173.00000000 907.74324324
74 63 26 34796800.00000000 1638 121212 21243.46764347 287.07388707
74 9 47 14576000.00000000 423 31302 34458.62884161 465.65714651
74 40 72 56908200.00000000 2880 213120 19759.79166667 267.02421171
74 25 27 17471900.00000000 675 49950 25884.29629630 349.78778779
74 37 21 21600500.00000000 777 57498 27799.87129987 375.67393648
74 6 59 13926600.00000000 354 26196 39340.67796610 531.63078333
74 57 67 73231200.00000000 3819 282606 19175.49096622 259.12825630
74 47 41 39978000.00000000 1927 142598 20746.23767514 280.35456318
74 9 23 9533000.00000000 207 15318 46053.14009662 622.33973104
75 12 71 22711600.00000000 852 63900 26656.80751174 355.42410016
75 2 48 7949900.00000000 96 7200 82811.45833333 1104.15277778
75 40 31 28077600.00000000 1240 93000 22643.22580645 301.90967742
75 29 36 26373500.00000000 1044 78300 25261.97318008 336.82630907
75 44 74 63737600.00000000 3256 244200 19575.42997543 261.00573301
75 69 50 65201400.00000000 3450 258750 18898.95652174 251.98608696
75 73 43 61113000.00000000 3139 235425 19468.93915260 259.58585537
75 45 30 30431500.00000000 1350 101250 22541.85185185 300.55802469
75 11 39 14037100.00000000 429 32175 32720.51282051 436.27350427
75 27 44 26649400.00000000 1188 89100 22432.15488215 299.09539843
76 13 29 12169300.00000000 377 28652 32279.31034483 424.72776770
76 26 13 12029500.00000000 338 25688 35590.23668639 468.29258798
76 20 44 21683600.00000000 880 66880 24640.45454545 324.21650718
76 37 4 8688000.00000000 148 11248 58702.70270270 772.40398293
76 12 4 4795600.00000000 48 3648 99908.33333333 1314.58333333
76 74 69 96682000.00000000 5106 388056 18934.97845672 249.14445338
76 24 38 24265300.00000000 912 69312 26606.68859649 350.08800785
76 13 14 8062200.00000000 182 13832 44297.80219780 582.86581839
76 45 39 39787700.00000000 1755 133380 22671.05413105 298.30334383
76 48 16 21014600.00000000 768 58368 27362.76041667 360.03632127
77 20 15 12234700.00000000 300 23100 40782.33333333 529.64069264
77 31 44 31216900.00000000 1364 105028 22886.29032258 297.22454964
77 64 73 89448100.00000000 4672 359744 19145.56934932 248.64375778
77 73 44 66880100.00000000 3212 247324 20821.94894147 270.41492132
77 28 28 22685200.00000000 784 60368 28935.20408163 375.78187119
77 14 20 11094300.00000000 280 21560 39622.50000000 514.57792208
77 27 49 30024900.00000000 1323 101871 22694.55782313 294.73451718
77 71 25 43104400.00000000 1775 136675 24284.16901408 315.37881836
77 76 45 67484100.00000000 3420 263340 19732.19298246 256.26224653
77 41 8 13477700.00000000 328 25256 41090.54878049 533.64349066
78 41 15 17727700.00000000 615 47970 28825.52845528 369.55805712
78 24 22 16507200.00000000 528 41184 31263.63636364 400.81585082
78 20 2 5762500.00000000 40 3120 144062.50000000 1846.95512821
78 36 1 5330900.00000000 36 2808 148080.55555556 1898.46866097
78 17 47 20670600.00000000 799 62322 25870.58823529 331.67420814
78 31 3 8912200.00000000 93 7254 95830.10752688 1228.59112214
78 23 62 32892300.00000000 1426 111228 23066.12903226 295.71960298
78 75 62 89838000.00000000 4650 362700 19320.00000000 247.69230769
78 63 49 62290300.00000000 3087 240786 20178.26368643 258.69568829
78 54 69 74602400.00000000 3726 290628 20022.11486849 256.69378037
79 53 62 67567600.00000000 3286 259594 20562.26415094 260.28182470
79 18 47 23835300.00000000 846 66834 28174.11347518 356.63434779
79 50 28 33110000.00000000 1400 110600 23650.00000000 299.36708861
79 34 38 30277500.00000000 1292 102068 23434.59752322 296.64047498
79 55 15 23171900.00000000 825 65175 28087.15151515 355.53356348
79 62 63 80735700.00000000 3906 308574 20669.66205837 261.64129188
79 20 17 14438100.00000000 340 26860 42465.00000000 537.53164557
79 54 60 66257700.00000000 3240 255960 20449.90740741 258.85958744
79 57 42 51178700.00000000 2394 189126 21377.90309106 270.60636824
79 52 1 8586900.00000000 52 4108 165132.69230769 2090.28724440
80 26 61 36517400.00000000 1586 126880 23024.84237074 287.81052963
80 8 32 11647200.00000000 256 20480 45496.87500000 568.71093750
80 14 14 9331100.00000000 196 15680 47607.65306122 595.09566327
80 79 11 25460600.00000000 869 69520 29298.73417722 366.23417722
80 23 78 39539300.00000000 1794 143520 22039.74358974 275.49679487
80 7 47 13090600.00000000 329 26320 39789.05775076 497.36322188
80 58 1 7209200.00000000 58 4640 124296.55172414 1553.70689655
80 52 62 64937800.00000000 3224 257920 20141.99751861 251.77496898
80 20 44 24599300.00000000 880 70400 27953.75000000 349.42187500
80 39 76 59873000.00000000 2964 237120 20200.06747638 252.50084345
81 48 66 69725700.00000000 3168 256608 22009.37500000 271.72067901
81 60 68 87569400.00000000 4080 330480 21463.08823529 264.97639797
81 42 53 48695200.00000000 2226 180306 21875.65139263 270.06977028
81 72 54 80914800.00000000 3888 314928 20811.41975309 256.93110806
81 75 81 119882200.00000000 6075 492075 19733.69547325 243.62587004
81 48 69 69583000.00000000 3312 268272 21009.35990338 259.37481362
81 77 66 102707500.00000000 5082 411642 20210.05509642 249.50685304
81 60 13 23547100.00000000 780 63180 30188.58974359 372.69863881
81 58 38 49557000.00000000 2204 178524 22485.02722323 277.59292868
81 37 79 60796600.00000000 2923 236763 20799.38419432 256.78252092
82 77 40 65444000.00000000 3080 252560 21248.05194805 259.12258473
82 54 60 69792100.00000000 3240 265680 21540.77160494 262.69233665
82 25 54 33583300.00000000 1350 110700 24876.51851852 303.37217706
82 78 55 88556300.00000000 4290 351780 20642.49417249 251.73773381
82 68 38 58827500.00000000 2584 211888 22766.06037152 277.63488258
82 22 65 33678200.00000000 1430 117260 23551.18881119 287.20961965
82 64 11 21704400.00000000 704 57728 30830.11363636 375.97699557
82 62 10 19277800.00000000 620 50840 31093.22580645 379.18568057
82 25 3 6098300.00000000 75 6150 81310.66666667 991.59349593
82 16 49 20601300.00000000 784 64288 26277.16836735 320.45327277
83 52 78 85350500.00000000 4056 336648 21043.02268245 253.53039376
83 21 63 31713800.00000000 1323 109809 23971.12622827 288.80874974
83 26 50 33419500.00000000 1300 107900 25707.30769231 309.72659870
83 14 57 23292500.00000000 798 66234 29188.59649123 351.66983724
83 52 64 68625400.00000000 3328 276224 20620.61298077 248.44112025
83 58 83 99016300.00000000 4814 399562 20568.40465310 247.81210425
83 5 4 4270500.00000000 20 1660 213525.00000000 2572.59036145
83 74 6 17770600.00000000 444 36852 40023.87387387 482.21534788
83 49 82 83004400.00000000 4018 333494 20658.13837730 248.89323346
83 23 66 37912300.00000000 1518 125994 24975.16469038 300.90559868
84 1 48 6263800.00000000 48 4032 130495.83333333 1553.52182540
84 25 73 43209100.00000000 1825 153300 23676.21917808 281.85975212
84 73 84 125333500.00000000 6132 515088 20439.25309850 243.32444165
84 84 36 64757600.00000000 3024 254016 21414.55026455 254.93512220
84 5 84 17287300.00000000 420 35280 41160.23809524 490.00283447
84 41 27 30199900.00000000 1107 92988 27280.84914182 324.77201359
84 80 28 53800100.00000000 2240 188160 24017.90178571 285.92740221
84 57 76 90601500.00000000 4332 363888 20914.47368421 248.98182957
84 42 63 59796000.00000000 2646 222264 22598.63945578 269.03142209
84 10 32 12822600.00000000 320 26880 40070.62500000 477.03125000
85 72 46 74012600.00000000 3312 281520 22346.79951691 262.90352373
85 30 20 17999900.00000000 600 51000 29999.83333333 352.93921569
85 12 64 22583200.00000000 768 65280 29405.20833333 345.94362745
85 62 15 27633800.00000000 930 79050 29713.76344086 349.57368754
85 82 31 57671000.00000000 2542 216070 22687.25413061 266.90887212
85 2 80 9529100.00000000 160 13600 59556.87500000 700.66911765
85 38 64 54843100.00000000 2432 206720 22550.61677632 265.30137384
85 23 46 28261000.00000000 1058 89930 26711.72022684 314.25553208
85 4 26 6701600.00000000 104 8840 64438.46153846 758.09954751
85 47 31 38561500.00000000 1457 123845 26466.36925189 311.36905002
86 26 45 29847900.00000000 1170 100620 25511.02564103 296.63983304
