s tiempo
1 1234458.35000000
2 1128306.80000000
3 1174488.15000000
4 1185779.16250000
5 1284336.37000000
6 1204722.48333333
7 1192589.72142857
8 1167281.71875000
9 1199817.28888889
10 1207935.64000000
11 1242967.78181818
12 1236392.00833333
13 1230929.97307692
14 1177578.82142857
15 1177249.25000000
16 1211878.01250000
17 1205614.95000000
18 1181251.93055556
19 1213046.70263158
20 1180078.05000000
21 1175815.83571429
22 1148198.87500000
23 1170400.75652174
24 1193600.83541667
25 1219724.85800000
26 1152989.25961538
27 1255902.95000000
28 1180258.24107143
29 1172903.83103448
30 1219248.06833333
31 1181556.28225806
32 1182827.53281250
33 1230031.48181818
34 1186595.51911765
35 1248299.91000000
36 1228404.10277778
37 1245951.04324324
38 1279694.76842105
39 1184051.07435897
40 1262040.28750000
41 1212055.53048780
42 1192427.42500000
43 1186306.74534884
44 1200976.66022727
45 1195359.87111111
46 1226028.42065217
47 1201616.22659574
48 1206620.71250000
49 1152936.69387755
