s n m tiempo
10000 100 1 14604.20000000
10000 100 6 76039.45000000
10000 100 11 139892.20000000
10000 100 16 202487.30000000
10000 100 21 257088.50000000
10000 100 26 312472.45000000
10000 100 31 378631.00000000
10000 100 36 433805.20000000
10000 100 41 546054.70000000
10000 100 46 640988.35000000
10000 100 51 658694.95000000
10000 100 56 702563.20000000
10000 100 61 753978.15000000
10000 100 66 848171.35000000
10000 100 71 816852.75000000
10000 100 76 876834.60000000
10000 100 81 1313449.10000000
10000 100 86 1028787.30000000
10000 100 91 1362907.45000000
10000 100 96 1458637.75000000
10000 100 101 1117571.90000000
10000 100 106 1265751.40000000
10000 100 111 1404288.05000000
10000 100 116 1762054.05000000
10000 100 121 1458134.70000000
10000 100 126 1437185.75000000
10000 100 131 1832587.30000000
10000 100 136 1596182.20000000
10000 100 141 1718073.95000000
10000 100 146 1751600.75000000
10000 100 151 2126276.85000000
10000 100 156 1791010.85000000
10000 100 161 1994406.45000000
10000 100 166 2010673.75000000
10000 100 171 2669550.30000000
10000 100 176 2424200.90000000
10000 100 181 2471702.85000000
10000 100 186 2451802.05000000
10000 100 191 2385461.55000000
10000 100 196 2609107.45000000
10000 100 201 2275826.05000000
10000 100 206 2512636.25000000
10000 100 211 2956769.50000000
10000 100 216 2616612.20000000
10000 100 221 2732606.50000000
10000 100 226 2975147.00000000
10000 100 231 2836107.20000000
10000 100 236 2584105.70000000
10000 100 241 2889618.45000000
10000 100 246 3376264.10000000
10000 100 251 3044030.90000000
10000 100 256 3308805.80000000
10000 100 261 3351556.00000000
10000 100 266 3235519.55000000
10000 100 271 3036959.40000000
10000 100 276 3450123.50000000
10000 100 281 3724583.15000000
10000 100 286 3670988.10000000
10000 100 291 3434890.40000000
10000 100 296 4182775.25000000
10000 100 301 3511796.15000000
10000 100 306 4108105.60000000
10000 100 311 4167514.50000000
10000 100 316 3664433.60000000
10000 100 321 4710131.00000000
10000 100 326 3984997.85000000
10000 100 331 4537997.95000000
10000 100 336 4024757.30000000
10000 100 341 4278002.60000000
10000 100 346 4382439.50000000
10000 100 351 4382984.55000000
10000 100 356 4353818.40000000
10000 100 361 5124441.05000000
10000 100 366 4758820.85000000
10000 100 371 4591523.20000000
10000 100 376 4796260.40000000
10000 100 381 4871405.30000000
10000 100 386 4697762.95000000
10000 100 391 4967848.35000000
10000 100 396 4938584.40000000
10000 100 401 5269028.95000000
10000 100 406 5095316.55000000
10000 100 411 5030303.80000000
10000 100 416 4993381.20000000
10000 100 421 5185331.00000000
10000 100 426 5215824.90000000
10000 100 431 5579376.90000000
10000 100 436 6074882.90000000
10000 100 441 5483898.30000000
10000 100 446 5768112.60000000
10000 100 451 5561810.20000000
10000 100 456 5545808.45000000
10000 100 461 6566895.40000000
10000 100 466 5813196.85000000
10000 100 471 5643523.50000000
10000 100 476 5783122.10000000
10000 100 481 6470689.75000000
10000 100 486 6345359.85000000
10000 100 491 7302677.90000000
10000 100 496 5902498.40000000
